site,mrccode,schooldistrictlocation,schooldistrictcode,schoollevel,schoollevelcode,schoolid,schoolcode,schoolname,
Aduku,41,Kwania,223,Primary,2,0018,22230018,Adyeda Primary School,
Aduku,41,Kwania,223,Primary,2,0019,22230019,Amia Primary School,
Aduku,41,Kwania,223,Primary,2,0020,22230020,Amolatar Primary School,
Aduku,41,Kwania,223,Primary,2,0021,22230021,Anjuleta Primary School,
Aduku,41,Kwania,223,Primary,2,0022,22230022,Bishop Kami Primary School,
Aduku,41,Kwania,223,Primary,2,0023,22230023,Hilltop Primary School,
Aduku,41,Kwania,223,Primary,2,0024,22230024,Mantor Primary School,
Aduku,41,Kwania,223,Primary,2,0025,22230025,Okole Primary School,
Aduku,41,Kwania,223,Primary,2,0026,22230026,Petra Kids Primary School,
Aduku,41,Kwania,223,Primary,2,0027,22230027,Rima Primary School,
Aduku,41,Kwania,223,Primary,2,0028,22230028,Storm Primary School,
Padibe,29,Lamwo,171,Primary,2,0001,21710001,Padibe Girls Primary School,
Padibe,29,Lamwo,171,Primary,2,0002,21710002,Padibe Boys Primary School,
Padibe,29,Lamwo,171,Primary,2,0003,21710003,Child Care Padibe Primary School,
Padibe,29,Lamwo,171,Primary,2,0004,21710004,Abakadak Primary School,
Padibe,29,Lamwo,171,Primary,2,0005,21710005,Borad Way Primary School,
Padibe,29,Lamwo,171,Primary,2,0006,21710006,Kitgum Italy Primary School,
Namokora,31,Kitgum,161,Primary,2,0001,21610001,Namokora Primary School,
Namokora,31,Kitgum,161,Primary,2,0002,21610002,Oryebo Primary School,
Namokora,31,Kitgum,161,Primary,2,0003,21610003,Guda Primary School,
Namokora,31,Kitgum,161,Primary,2,0004,21610004,Tiger Primary School,
Namokora,31,Kitgum,161,Primary,2,0005,21610005,St Kizito Primary School,
Namokora,31,Kitgum,161,Primary,2,0006,21610006,Kitgum Comprehensive Primary School,
Namokora,31,Kitgum,161,Primary,2,0007,21610007,Mother Lodia Primary School,
Namokora,31,Kitgum,161,Primary,2,0008,21610008,Wigengy Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0009,21610009,Kitgum Matidi Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0010,21610010,Layamo Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0011,21610011,St Bakita Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0012,21610012,Gulio Pastore Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0013,21610013,Kitgum Prisons Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0014,21610014,Aminadere Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0015,21610015,Buluji Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0016,21610016,Child Care Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0017,21610017,Darvin Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0018,21610018,Demonstration Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0019,21610019,Laber Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0020,21610020,Life for All Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0021,21610021,Lira Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0022,21610022,Omiya Anyim Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0023,21610023,Pajule Primary School,
Kitgum Matidi,32,Kitgum,161,Primary,2,0024,21610024,Pire Primary School,
Patongo,33,Agago,103,Primary,2,0001,21030001,Patongo Akwee Primary School,
Patongo,33,Agago,103,Primary,2,0002,21030002,Patongo Integrated Primary School,
Patongo,33,Agago,103,Primary,2,0003,21030003,Moo Degee Primary School,
Patongo,33,Agago,103,Primary,2,0004,21030004,Paurina Primary School,
Patongo,33,Agago,103,Primary,2,0005,21030005,St Joseph Primary School,
Patongo,33,Agago,103,Primary,2,0006,21030006,Good Foundation Primary School,
Patongo,33,Agago,103,Primary,2,0007,21030007,Christ Hand Primary School,
Patongo,33,Agago,103,Primary,2,0008,21030008,Ajali Primary School,
Patongo,33,Agago,103,Primary,2,0009,21030009,Ayago Primary School,
Patongo,33,Agago,103,Primary,2,0010,21030010,Gulu Primary School,
Patongo,33,Agago,103,Primary,2,0011,21030011,Ligiligi Primary School,
Patongo,33,Agago,103,Primary,2,0012,21030012,Abim Primary School,
Patongo,33,Agago,103,Primary,2,0013,21030013,Jireh Foundation Primary School,
Patongo,33,Agago,103,Primary,2,0014,21030014,New Covenant Primary School,
Patongo,33,Agago,103,Primary,2,0015,21030015,Opwelo Primary School,
Patongo,33,Agago,103,Primary,2,0016,21030016,School Road Primary School,
Patongo,33,Agago,103,Primary,2,0017,21030017,St James Primary School,
Patongo,33,Agago,103,Primary,2,0018,21030018,St Maurice Primary School,
Patongo,33,Agago,103,Primary,2,0019,21030019,Wanglobo Primary School,
Akokoro,40,Apac,109,Primary,2,0001,21090001,Akokoro Primary School,
Akokoro,40,Apac,109,Primary,2,0002,21090002,Ayei Annex Primary School,
Akokoro,40,Apac,109,Primary,2,0003,21090003,Hill View Primary School,
Akokoro,40,Apac,109,Primary,2,0004,21090004,Akaalo Primary School,
Akokoro,40,Apac,109,Primary,2,0005,21090005,Lake Side Primary School,
Akokoro,40,Apac,109,Primary,2,0006,21090006,Lake View Primary School,
Akokoro,40,Apac,109,Primary,2,0007,21090007,Kwibale Primary School,
Akokoro,40,Apac,109,Primary,2,0008,21090008,Out Citizen Primary School,
Akokoro,40,Apac,109,Primary,2,0009,21090009,Wangachein Primary School
